concurso,data,n1,n2,n3,n4,n5
5422,11/09/2019,81770,75656,42321,65908,81006
5421,06/09/2019,73296,42724,42360,77780,5091
5420,04/09/2019,43720,16964,87666,40688,90964
5419,31/08/2019,74107,41609,4318,68504,57458
5418,28/08/2019,27880,86244,7075,31058,31606
5417,24/08/2019,29415,73151,82264,24042,29365
5416,21/08/2019,87590,24400,56686,39411,51969
5415,17/08/2019,42284,66207,91557,62540,48954

5414,14/08/2019,84009,44259,22307,85553,67937
5413,10/08/2019,11653,38114,77374,69582,56675
5412,07/08/2019,73771,62808,54470,61446,45214
5411,03/08/2019,18769,41380,7223,92632,32409
5410,31/07/2019,42709,50796,69058,53060,92759
5409,27/07/2019,65789,24777,4885,12442,73345
5408,24/07/2019,28670,91981,92080,19294,77821
5407,20/07/2019,54368,73522,1562,61044,3588
5406,17/07/2019,93446,74821,10062,48120,55837
5405,13/07/2019,68865,18128,67990,76409,44456
5404,10/07/2019,84758,81824,91850,17501,2088
5403,06/07/2019,22061,73556,1709,41013,82320
5402,03/07/2019,02,85265,38749,25075,31911
5401,29/06/2019,16959,5289,31845,39435,45977
5400,26/06/2019,65229,33049,94681,8503,8723
5399,22/06/2019,37117,71539,80239,46873,78405
5398,19/06/2019,68681,2094,6310,90299,16689
5397,15/06/2019,72080,45962,7033,78976,31912
5396,12/06/2019,49634,47385,40403,92224,19008
5395,08/06/2019,44630,37258,49490,55710,64870
5394,05/06/2019,52075,32874,24454,66124,11757
5393,01/06/2019,28918,22194,63405,86750,71732
5392,29/05/2019,28467,24211,26934,58221,57503
5391,25/05/2019,79859,88018,10799,48960,62566
5390,22/05/2019,25170,58355,38315,56200,45081
5389,18/05/2019,75170,42280,21903,74402,52853
5388,15/05/2019,2716,65001,27675,87895,57036
5387,11/05/2019,50761,89421,56302,9141,33285
5386,08/05/2019,44743,6032,34302,95262,50650
5385,04/05/2019,5049,1506,59238,40774,10797
5384,02/05/2019,6586,44470,87268,86049,11490
5383,27/04/2019,32672,10194,76007,86276,41620
5382,24/04/2019,38146,59362,11566,41959,59312
5381,20/04/2019,44460,52431,67720,61696,43825
5380,17/04/2019,39422,25201,54871,27945,5318
5379,13/04/2019,31483,8162,6366,88003,41442
5378,10/04/2019,4970,9879,67936,55778,98426
5377,06/04/2019,62522,96937,27605,82442,26420
5376,03/04/2019,28470,36834,8888,77233,89987
5375,30/03/2019,16255,36813,45724,65903,69453
5374,27/03/2019,34992,89210,5325,58129,75338
5373,23/03/2019,58210,16721,5663,77355,16025
5372,20/03/2019,12305,99580,3968,46367,46895
5371,16/03/2019,91418,16653,19154,68205,40066
5370,13/03/2019,84855,80703,11658,80441,630
5369,09/03/2019,40704,86451,74808,48674,75706
5368,07/03/2019,45956,57474,71915,37583,3494

5367,02/03/2019,52307,50186,71677,92704,58355
5366,27/02/2019,46886,57871,79046,33550,45691
5365,23/02/2019,677,4343,14,8103,14707
5364,20/02/2019,6160,2924,17730,86201,14573
5363,16/02/2019,8047,78683,58115,27572,2348
5362,13/02/2019,2178,2086,53027,44553,5332
5361,09/02/2019,55971,43460,6995,20444,27371
5360,06/02/2019,16358,34837,81436,76131,15279
5359,02/02/2019,58373,44022,49129,34790,62101
5358,30/01/2019,9453,69782,40416,1593,57070
5357,26/01/2019,54015,45791,7696,12970,46950
5356,23/01/2019,60016,48435,73723,29348,66859
5355,19/01/2019,48201,15953,14408,71491,46099
5354,16/01/2019,13020,71362,11934,65056,17644
5353,12/01/2019,26740,11903,8372,72873,7643
5352,09/01/2019,74346,65069,57913,71466,54415
5351,05/01/2019,28443,26528,38551,68426,60183
5350,02/01/2019,59512,61258,31935,12629,4567
5349,29/12/2018,78445,25244,21055,61514,55539
5348,26/12/2018,71128,66933,74944,79183,40009
5347,22/12/2018,58354,83606,31589,42705,60140
5346,19/12/2018,84683,20438,48744,44183,79878
5345,15/12/2018,22249,19824,37450,30725,32771
5344,12/12/2018,75485,21051,29772,86080,24870
5343,08/12/2018,58330,8008,23181,71269,45762
5342,05/12/2018,31738,2483,62454,1859,16758
5341,01/12/2018,69341,24081,27869,61933,29407
5340,28/11/2018,60439,24301,86310,52363,37827
5339,24/11/2018,9436,20033,38724,51352,54112
5338,21/11/2018,58473,85513,45125,26436,18357
5337,17/11/2018,42443,23432,44506,59080,65139
5336,14/11/2018,25327,57288,17269,68841,35454
5335,10/11/2018,1980,66044,41447,2138,18927
5334,07/11/2018,15977,66568,43669,41730,30414
5333,03/11/2018,86121,5603,2972,74899,82072
5332,31/10/2018,64900,37093,12373,84008,49491
5331,27/10/2018,69635,6668,65220,15264,9947
5330,24/10/2018,39663,15478,71303,10966,18809
5329,20/10/2018,63824,51127,41262,19977,32360
5328,17/10/2018,24900,48865,7935,41198,73212
5327,13/10/2018,16145,76147,37912,7820,75574
5326,10/10/2018,36999,3006,67055,58190,56756
5325,06/10/2018,80157,40560,67014,67632,5182
5324,03/10/2018,76405,70511,39178,35087,70412
5323,29/09/2018,65634,54047,56384,39962,26911
5322,26/09/2018,62021,28829,81208,84287,62599
5321,22/09/2018,50412,45885,71047,58394,56589

5320,19/09/2018,8639,2010,44205,38874,25433
5319,15/09/2018,68101,39414,8551,3699,43247
5318,12/09/2018,79030,49451,86891,82987,67146
5317,08/09/2018,772,43074,35711,30211,75798
5316,05/09/2018,75020,78982,81487,31577,10152
5315,01/09/2018,30105,64943,20527,22476,66773
5314,29/08/2018,29643,18952,49715,77779,31921
5313,25/08/2018,3018,64419,31506,57000,30887
5312,22/08/2018,46230,43929,22242,82691,32106
5311,18/08/2018,38113,70813,51184,15243,46256
5310,15/08/2018,84914,84373,17372,62243,12240
5309,11/08/2018,29371,34861,58006,55090,61707
5308,08/08/2018,41794,85718,27151,59389,42048
5307,04/08/2018,18017,2397,40023,80,56247
5306,01/08/2018,17061,83283,23466,30327,46142
5305,28/07/2018,80847,57097,78144,51531,43245
5304,25/07/2018,82402,28912,47010,31819,78812
5303,21/07/2018,21442,30885,26197,51526,46911
5302,18/07/2018,55237,48390,53811,60478,515
5301,14/07/2018,64856,973,8164,54997,47212
5300,11/07/2018,64870,21745,14998,73125,48668
5299,07/07/2018,7252,2179,19479,2852,2103
5298,04/07/2018,50192,61388,20671,60119,54747
5297,30/06/2018,63734,75760,62449,61146,32914
5296,27/06/2018,31866,61355,4407,81086,63934
5295,23/06/2018,66718,6391,40553,19871,39192
5294,20/06/2018,38336,72897,31693,38220,25677
5293,16/06/2018,25774,3663,42415,21021,25030
5292,13/06/2018,3223,38041,82936,4815,7173
5291,09/06/2018,19008,41062,47017,8441,46965
5290,06/06/2018,55292,81104,62614,62965,14094
5289,02/06/2018,47192,41864,55206,47912,37159
5288,30/05/2018,20766,24124,74865,22830,20790
5287,26/05/2018,55969,30087,38163,55779,70118
5286,23/05/2018,16168,41675,31446,66403,1132
5285,19/05/2018,64835,75199,356,11147,27610
5284,16/05/2018,64992,7804,47590,81565,30229
5283,12/05/2018,61918,4407,62099,5286,65647
5282,09/05/2018,2335,60319,9150,14584,8883
5281,05/05/2018,22203,34069,53998,14057,13812
5280,02/05/2018,6551,57551,12006,19152,26840
5279,28/04/2018,32425,39617,80122,34456,33435
5278,25/04/2018,10923,31711,4138,557,38888
5277,20/04/2018,89397,79274,32249,7366,44304
5276,18/04/2018,54227,2347,2735,70748,67528
5275,14/04/2018,53008,28708,33301,24126,63417
5274,11/04/2018,27533,49594,13019,54342,24498

5273,07/04/2018,41172,24469,13188,33033,336
5272,04/04/2018,38954,62795,82130,67560,2002
5271,31/03/2018,49946,19609,35291,30940,26697
5270,28/03/2018,50084,24959,24391,75161,51564
5269,24/03/2018,53646,33427,80076,30351,11340
5268,21/03/2018,10421,45144,85214,84929,11669
5267,17/03/2018,40336,83586,73495,14166,40417
5266,14/03/2018,23922,39059,38606,80434,63833
5265,10/03/2018,21881,53047,30458,77794,6612
5264,07/03/2018,44276,29161,5456,41270,60061
5263,03/03/2018,83604,69392,13098,26647,73304
5262,28/02/2018,86686,18991,83860,56262,24858
5261,24/02/2018,62682,31027,54327,73533,24389
5260,21/02/2018,2700,35718,21513,75491,37207
5259,17/02/2018,61090,50484,9342,24371,43127
5258,15/02/2018,39704,82832,3723,293,29687
5257,10/02/2018,63928,60971,45048,41493,33090
5256,07/02/2018,52539,47939,68773,37759,57104
5255,03/02/2018,11209,21428,83469,13847,26937
5254,31/01/2018,39332,1637,18091,14028,51099
5253,27/01/2018,82639,40159,58240,81336,17864
5252,24/01/2018,14818,27078,56136,75037,65756
5251,20/01/2018,58652,70529,72083,78227,32487
5250,17/01/2018,9174,53709,66978,48231,27423
5249,13/01/2018,45841,13775,52112,11228,35922
5248,10/01/2018,46309,57549,21052,68651,38309
5247,06/01/2018,69365,59318,47086,72822,38985
5246,03/01/2018,18939,72250,85879,30871,33022
5245,30/12/2017,12988,12357,80617,62997,701
5244,27/12/2017,27860,18580,82805,40040,53335
5243,23/12/2017,63019,41398,68451,64760,39459
5242,20/12/2017,31145,75567,87824,81586,60813
5241,16/12/2017,79123,29632,18782,84016,36399
5240,13/12/2017,82696,29682,46373,37537,59181
5239,09/12/2017,53549,57704,44591,1112,42689
5238,06/12/2017,25302,1890,57473,46934,62427
5237,02/12/2017,18846,18967,25586,83574,17089
5236,29/11/2017,41678,68927,63524,68582,56738
5235,25/11/2017,37715,69587,10591,24797,29693
5234,22/11/2017,7700,4903,11410,33150,2538
5233,18/11/2017,20022,74249,4623,40241,56411
5232,14/11/2017,74013,43002,79208,28760,555
5231,11/11/2017,48551,33616,4024,54220,23476
5230,08/11/2017,70745,65516,58852,13839,85355
5229,04/11/2017,63514,51683,27552,72294,29713
5228,01/11/2017,34880,813,56676,61453,45708
5227,28/10/2017,78811,36412,56948,15230,51588

5226,25/10/2017,46488,11592,65286,65027,7460
5225,21/10/2017,703,81785,63550,57945,61010
5224,18/10/2017,44256,5331,57706,8726,29091
5223,14/10/2017,12605,67176,7276,65595,43587
5222,11/10/2017,64027,43205,45665,171,18122
5221,07/10/2017,77984,32304,77107,19978,21649
5220,04/10/2017,72095,38743,30864,27615,63348
5219,30/09/2017,16026,57560,46213,42027,51551
5218,27/09/2017,12314,55557,2800,76963,10319
5217,23/09/2017,50592,54233,45069,59379,7274
5216,20/09/2017,83241,31914,27176,49605,51596
5215,16/09/2017,62637,14971,42176,88888,47348
5214,13/09/2017,34717,40603,5637,44173,40567
5213,09/09/2017,15645,71135,29805,15451,53857
5212,06/09/2017,65962,33123,65877,74367,22342
5211,02/09/2017,76222,15497,58108,43229,5863
5210,30/08/2017,6140,77096,55693,15843,77617
5209,26/08/2017,6796,69759,77156,42996,32652
5208,23/08/2017,36100,63792,43336,26604,23526
5207,19/08/2017,86622,68229,13407,28045,83226
5206,16/08/2017,25933,56725,2437,78951,75940
5205,12/08/2017,28234,29209,34891,36118,20469
5204,09/08/2017,4339,31745,41115,15336,51241
5203,05/08/2017,52583,83523,64070,39008,53553
5202,02/08/2017,46427,26496,66,13149,72984
5201,29/07/2017,55508,50295,82533,57784,52841
5200,26/07/2017,36510,25094,66329,47488,61042
5199,22/07/2017,19841,79293,85074,66891,70053
5198,19/07/2017,7614,87865,5433,87677,60472
5197,15/07/2017,2899,10245,32534,9002,80124
5196,12/07/2017,26984,68706,37960,73094,27716
5195,08/07/2017,43414,47815,37100,36414,55503
5194,05/07/2017,46977,13319,71340,83169,22775
5193,01/07/2017,77746,39805,50284,69786,67410
5192,28/06/2017,51853,82802,63361,25649,44121
5191,24/06/2017,50427,75106,53400,64698,69939
5190,21/06/2017,19924,55180,13066,34065,5658
5189,17/06/2017,28583,17002,72209,13866,81434
5188,14/06/2017,7632,3092,73672,7519,92918
5187,10/06/2017,14241,63247,12605,33791,8002
5186,07/06/2017,78070,31611,49751,80964,2587
5185,03/06/2017,57941,59563,22312,82352,8068
5184,31/05/2017,28080,48311,63433,53714,20831
5183,27/05/2017,20062,65691,11949,87734,34776
5182,24/05/2017,80762,51180,81135,46391,22508
5181,20/05/2017,35057,59248,12394,74701,51318
5180,17/05/2017,15638,68116,16182,11290,23893

5179,13/05/2017,48498,86755,25496,49440,6355
5178,10/05/2017,67114,31322,30103,72474,63382
5177,06/05/2017,6684,63173,12248,47854,48934
5176,03/05/2017,88406,2576,18452,35656,34178
5175,29/04/2017,44308,37132,5713,85429,56087
5174,26/04/2017,75107,85074,24901,58446,37126
5173,22/04/2017,45738,32140,32249,26711,73980
5172,19/04/2017,14657,12047,15028,44896,47578
5171,15/04/2017,24405,55629,88531,55243,28565
5170,12/04/2017,6134,53090,3752,63149,39920
5169,08/04/2017,1302,19918,81979,1814,55953
5168,05/04/2017,18641,57802,33199,1704,77580
5167,01/04/2017,6856,57658,74147,30926,84925
5166,29/03/2017,53754,73262,26313,48696,33249
5165,25/03/2017,33520,80680,80134,46611,49320
5164,22/03/2017,39850,48992,6540,80011,21507
5163,18/03/2017,40352,85265,87610,3422,39323
5162,15/03/2017,23771,12888,75230,33806,60058
5161,11/03/2017,29017,67892,48443,81692,25612
5160,08/03/2017,19653,26305,71760,14147,7875
5159,04/03/2017,1323,53015,32796,72271,57902
5158,01/03/2017,55924,17159,42679,52963,41963
5157,25/02/2017,20043,30494,27888,85014,12384
5156,22/02/2017,84012,2722,47925,69662,41273
5155,18/02/2017,2562,25088,66775,22398,12649
5154,15/02/2017,42306,4281,6069,4569,78302
5153,11/02/2017,15431,66105,53943,81848,36242
5152,08/02/2017,17533,40513,85436,32200,3387
5151,04/02/2017,75872,347,342,58883,77757
5150,01/02/2017,56290,40616,17014,12343,66540
5149,28/01/2017,70190,14099,58902,28283,15274
5148,25/01/2017,14913,78698,43151,24699,61010
5147,21/01/2017,15871,1919,21189,28127,46958
5146,18/01/2017,35851,75278,1620,53243,2493
5145,14/01/2017,6459,9893,16674,24136,54299
5144,11/01/2017,70015,63627,12095,38267,23659
5143,07/01/2017,25345,25015,67435,78707,79103
5142,04/01/2017,30028,35256,67330,9532,52037
5141,31/12/2016,14961,1163,71390,48404,17315
5140,28/12/2016,58186,42868,48936,71122,40826
5139,24/12/2016,60856,11738,54597,61154,81767
5138,21/12/2016,24319,45583,62634,30232,81382
5137,17/12/2016,36390,84213,43867,69182,25760
5136,14/12/2016,49513,10418,32674,32674,42621
5135,10/12/2016,31608,82455,26027,35471,86040
5134,07/12/2016,41750,38500,88729,71508,72790
5133,03/12/2016,41934,31736,50449,53264,51254

5132,30/11/2016,64823,7842,56068,20254,86377
5131,26/11/2016,11645,43456,86938,71594,2042
5130,23/11/2016,62912,84724,73568,37772,14425
5129,19/11/2016,8114,9828,47577,68796,12207
5128,16/11/2016,82923,659,6334,7388,18999
5127,12/11/2016,67018,58497,10387,90324,38192
5126,09/11/2016,58345,50900,26274,57721,5041
5125,05/11/2016,69597,65066,42711,65950,60820
5124,01/11/2016,36355,38200,22954,61470,49043
5123,29/10/2016,57956,50426,80631,4377,68963
5122,26/10/2016,24892,87666,70307,50027,75107
5121,22/10/2016,46938,41386,75770,69441,1539
5120,19/10/2016,81446,54080,10085,78439,43007
5119,15/10/2016,73282,39059,25611,18751,75162
5118,11/10/2016,71637,38276,55417,24095,75495
5117,08/10/2016,29479,86345,83357,11779,63785
5116,05/10/2016,28699,30180,2794,14011,16742
5115,01/10/2016,86018,63748,80200,26357,87880
5114,28/09/2016,2644,57842,78707,2996,70852
5113,24/09/2016,67936,62958,59243,65387,75031
5112,21/09/2016,37364,68633,14308,19513,43127
5111,17/09/2016,49027,53547,17742,20812,19704
5110,14/09/2016,25684,63995,73065,83652,47980
5109,10/09/2016,44059,87833,84850,11658,37402
5108,06/09/2016,15003,42562,18508,10818,41861
5107,03/09/2016,69972,39748,8180,25577,76485
5106,31/08/2016,85700,45102,60035,89134,10422
5105,27/08/2016,32246,31508,24003,36182,65345
5104,24/08/2016,62574,56622,83904,48951,89111
5103,20/08/2016,55869,50299,41219,71362,24358
5102,17/08/2016,85889,65207,82797,54445,88221
5101,13/08/2016,15001,30059,50539,59156,37543
5100,10/08/2016,17493,79750,79570,20859,39942
5099,06/08/2016,79098,23445,14579,58894,81899
5098,03/08/2016,49713,61726,10435,56871,70420
5097,30/07/2016,9979,10949,16151,36821,81922
5096,27/07/2016,18286,73501,4962,33623,26989
5095,23/07/2016,84266,71483,26808,73367,12102
5094,20/07/2016,49536,82472,37558,34969,35948
5093,16/07/2016,6792,17187,17158,49429,45441
5092,13/07/2016,78318,46294,9234,34024,3689
5091,09/07/2016,31479,22634,47252,60511,45517
5090,06/07/2016,65298,29913,64430,21891,32570
5089,02/07/2016,5187,60100,19886,36028,78480
5088,29/06/2016,82558,62613,37661,2214,15641
5087,25/06/2016,25635,57039,82350,58236,59320
5086,22/06/2016,29784,65921,17376,84909,28189

5085,18/06/2016,37450,12346,69295,5469,84621
5084,15/06/2016,39635,73041,25104,255,47002
5083,11/06/2016,72285,68043,38879,28992,83498
5082,08/06/2016,79134,59200,44823,51675,11322
5081,04/06/2016,33697,37402,12045,4231,13014
5080,01/06/2016,7902,77068,3878,76030,7504
5079,28/05/2016,75613,16209,70697,94070,12167
5078,25/05/2016,75708,19254,84698,24086,31580
5077,21/05/2016,20834,74743,6444,41186,26203
5076,18/05/2016,68037,9621,15455,78612,67910
5075,14/05/2016,60828,62722,38801,51809,13213
5074,11/05/2016,79325,81446,90583,78887,24698
5073,07/05/2016,85093,73292,82701,15136,71304
5072,04/05/2016,51731,19756,76564,31874,51256
5071,30/04/2016,17678,11327,93790,5007,9369
5070,27/04/2016,25363,81507,21265,81706,16957
5069,23/04/2016,53703,2043,72762,18166,56791
5068,20/04/2016,93714,20725,40245,95047,79078
5067,16/04/2016,79966,79330,23385,20595,79795
5066,13/04/2016,6897,15830,73175,73874,48850
5065,09/04/2016,42176,6002,27111,93033,4078
5064,06/04/2016,9652,39387,70999,27247,93087
5063,02/04/2016,15814,21322,40608,61722,78216
5062,30/03/2016,10036,60858,39758,79212,90726
5061,26/03/2016,5701,74771,11330,89964,27790
5060,23/03/2016,76168,30106,52343,2582,72774
5059,19/03/2016,29245,89254,23201,54242,517
5058,16/03/2016,83259,20348,71328,55901,54189
5057,12/03/2016,78761,36436,64347,12309,54867
5056,09/03/2016,69395,29406,67609,66716,45079
5055,05/03/2016,19696,62619,92258,64993,87307
5054,02/03/2016,20740,11579,50509,56528,31933
5053,27/02/2016,35301,80946,61513,47500,67668
5052,24/02/2016,34343,17825,43416,57081,25485
5051,20/02/2016,17230,18083,30365,24379,83056
5050,17/02/2016,64577,27891,38286,77468,28893
5049,13/02/2016,43046,7825,90250,87219,46249
5048,10/02/2016,62941,17012,91779,54323,13756
5047,06/02/2016,14274,65456,75119,45599,95914
5046,03/02/2016,46664,27970,67936,55173,65757
5045,30/01/2016,61099,62145,87863,81232,19906
5044,27/01/2016,33512,111,81436,64136,88285
5043,23/01/2016,91677,80900,96631,72439,85396
5042,20/01/2016,42673,59029,39669,35724,91751
5041,16/01/2016,65769,28329,21834,30948,16223
5040,13/01/2016,33934,56965,61833,52834,19921
5039,09/01/2016,90256,64149,41759,86029,60344

5038,06/01/2016,94740,54788,25214,68140,95211
5037,31/12/2015,38445,90688,32492,16809,19851
5036,29/12/2015,42036,49682,48531,36040,36759
5035,24/12/2015,28967,8481,39786,23321,80432
5034,22/12/2015,3560,46434,24005,91819,76446
5033,19/12/2015,26938,2541,53974,82912,33557
5032,16/12/2015,92386,14493,15920,62864,95931
5031,12/12/2015,18470,94071,60871,54350,91980
5030,09/12/2015,69135,31037,56712,64254,35493
5029,05/12/2015,38312,49090,11233,39131,17727
5028,02/12/2015,52062,42570,75033,10491,17570
5027,28/11/2015,42168,07,93669,70654,68668
5026,25/11/2015,41887,70665,71873,88544,347
5025,21/11/2015,58364,94470,67491,78147,40293
5024,18/11/2015,45863,52402,28803,95055,14042
5023,14/11/2015,19808,87666,20235,81338,19017
5022,11/11/2015,80505,86282,27672,26480,27586
5021,07/11/2015,47743,96078,59874,69253,89804
5020,04/11/2015,95561,46323,46446,76876,55076
5019,31/10/2015,59960,41229,29807,22745,58845
5018,28/10/2015,25444,26663,72335,90475,60060
5017,24/10/2015,86660,69944,22608,53832,26061
5016,21/10/2015,68339,25471,77276,59805,43737
5015,17/10/2015,50864,24359,86724,90004,29552
5014,14/10/2015,44307,78575,75124,2366,6651
5013,10/10/2015,32389,65903,32920,41645,97616
5012,07/10/2015,44898,45641,3810,21658,65462
5011,03/10/2015,62581,12104,40005,94719,27264
5010,30/09/2015,65154,80014,43431,14051,15881
5009,26/09/2015,72144,49251,51791,61208,97887
5008,23/09/2015,64954,23881,44606,55291,76107
5007,19/09/2015,26939,81168,86923,35002,52632
5006,16/09/2015,88996,78672,34609,26465,375
5005,12/09/2015,18508,10112,52831,39750,63065
5004,09/09/2015,22613,73669,8175,58795,43027
5003,05/09/2015,15561,85211,71156,72192,86810
5002,02/09/2015,37404,1124,22759,64635,25564
5001,29/08/2015,38547,35091,41860,96704,1855
5000,26/08/2015,72729,67611,60074,92742,21683
4999,22/08/2015,93644,27401,42641,62494,54020
4998,19/08/2015,45612,17501,77509,19871,41663
4997,15/08/2015,45464,86020,32731,75723,21257
4996,12/08/2015,41413,831,45211,80324,92299
4995,08/08/2015,6455,83632,7937,6150,72159
4994,05/08/2015,65347,44525,83844,9363,57352
4993,01/08/2015,22137,72470,79004,66172,77477
4992,29/07/2015,87974,37436,53192,25056,76188

4991,25/07/2015,53871,97307,46603,92804,38571
4990,22/07/2015,34037,38060,83741,13920,53784
4989,18/07/2015,86650,71492,40185,22323,5820
4988,15/07/2015,5264,74939,16213,28488,29063
4987,11/07/2015,75581,12856,72763,84161,46014
4986,08/07/2015,87111,50219,63282,9682,96652
4985,04/07/2015,56606,8412,1584,20799,13570
4984,01/07/2015,58251,52738,81636,57042,36806
4983,27/06/2015,9808,52594,94165,50506,62711
4982,24/06/2015,71262,17923,45067,45617,31394
4981,20/06/2015,94604,35372,90646,79097,10514
4980,17/06/2015,22010,17060,96528,43159,6367
4979,13/06/2015,49529,27476,70917,47763,27697
4978,10/06/2015,59932,13587,76788,35989,22245
4977,06/06/2015,4486,5000,16549,40327,69596
4976,03/06/2015,80380,14017,31104,35400,29689
4975,30/05/2015,33914,762,61254,62976,97488
4974,27/05/2015,60652,36941,48568,66257,27012
4973,23/05/2015,95036,28792,5107,19622,7200
4972,20/05/2015,22835,24414,20671,9016,42222
4971,16/05/2015,1416,59563,31937,11982,50834
4970,13/05/2015,27273,5303,17773,43661,11441
4969,09/05/2015,34704,77540,6633,16687,66539
4968,06/05/2015,69123,85779,86332,93624,7089
4967,02/05/2015,78461,46165,25889,11120,35001
4966,29/04/2015,27411,60434,65655,93140,89785
4965,25/04/2015,72283,83759,44839,62926,42029
4964,22/04/2015,59254,58650,35033,62262,94688
4963,18/04/2015,42583,57055,65655,20547,41710
4962,15/04/2015,22109,41455,13260,31566,18759
4961,11/04/2015,5788,1416,6216,26286,72293
4960,08/04/2015,5316,66186,84497,6052,84291
4959,04/04/2015,97984,58742,3649,53749,62746
4958,01/04/2015,96885,85256,83572,79541,76085
4957,28/03/2015,63487,65079,43554,91016,76226
4956,25/03/2015,54795,77188,25987,67602,2419
4955,21/03/2015,21614,60379,67526,84650,67771
4954,18/03/2015,91880,35173,43211,20985,7719
4953,14/03/2015,81165,27585,7719,97364,8574
4952,11/03/2015,25642,4351,19588,56364,8207
4951,07/03/2015,88550,37544,43589,48000,58760
4950,04/03/2015,2870,91422,16888,40994,39340
4949,28/02/2015,18147,44606,93343,25908,55696
4948,25/02/2015,8554,77610,85740,86053,11974
4947,21/02/2015,75507,29524,30557,24851,28523
4946,18/02/2015,55666,57666,7933,56244,62507
4945,14/02/2015,93457,74905,76099,72061,56926

4944,11/02/2015,46582,78706,1592,50866,8920
4943,07/02/2015,40147,53956,66104,23381,55724
4942,04/02/2015,97792,44349,27114,70874,88524
4941,31/01/2015,82733,3688,70720,77100,69959
4940,28/01/2015,89078,54424,9005,97454,11760
4939,24/01/2015,88260,67395,30552,32216,13475
4938,21/01/2015,49977,20898,38015,26763,81231
4937,17/01/2015,29704,6449,73268,31813,43335
4936,14/01/2015,74310,20476,20443,82391,79585
4935,10/01/2015,52402,87431,81242,59286,39996
4934,07/01/2015,95805,10294,52607,13118,39980
4933,03/01/2015,27621,32535,43799,73185,52187
4932,31/12/2014,26806,788,71483,65637,47670
4931,27/12/2014,55159,49396,12167,54911,64601
4930,24/12/2014,91940,73662,91328,81435,03
4929,20/12/2014,14380,77786,76310,11116,21233
4928,17/12/2014,64182,92044,4144,94447,24895
4927,13/12/2014,105,22065,92432,96331,44504
4926,10/12/2014,58315,76525,96372,76812,77839
4925,06/12/2014,15777,76400,57249,47942,44395
4924,03/12/2014,37447,74041,22833,19770,30112
4923,29/11/2014,51775,42765,61762,86357,22140
4922,26/11/2014,51376,97023,26229,71674,11897
4921,22/11/2014,21265,22370,25986,26366,74062
4920,19/11/2014,71861,40933,63872,1395,62240
4919,14/11/2014,53884,36429,72789,18107,8719
4918,12/11/2014,32751,83755,74234,65146,14495
4917,08/11/2014,46066,5116,3094,11624,79262
4916,05/11/2014,89592,76111,32727,189,17129
4915,01/11/2014,76438,81458,94306,18770,24877
4914,29/10/2014,9289,13177,23872,10125,93552
4913,25/10/2014,71138,44508,18128,43939,77819
4912,22/10/2014,56456,13872,90361,70860,80840
4911,18/10/2014,21244,76980,34311,98233,65062
4910,15/10/2014,66675,88860,91418,9666,13011
4909,11/10/2014,34751,53797,41456,37178,23185
4908,08/10/2014,20907,2576,50515,8105,41576
4907,04/10/2014,50880,51554,14306,45321,23854
4906,01/10/2014,63413,14650,5468,59357,92345
4905,27/09/2014,59086,91482,75413,85255,31869
4904,24/09/2014,79566,92771,84962,59696,13981
4903,20/09/2014,26964,64941,3657,63415,11392
4902,17/09/2014,8976,54151,81941,89149,277
4901,13/09/2014,74435,72798,82506,4129,41544
4900,10/09/2014,25368,428,11084,50733,95975
4899,06/09/2014,27190,77683,94284,75800,48255
4898,03/09/2014,58516,46718,46456,73595,36209

4897,30/08/2014,44004,75569,25236,81751,4776
4896,27/08/2014,11832,95300,58169,64487,6343
4895,23/08/2014,54843,12101,78158,64348,69628
4894,20/08/2014,4373,79992,24661,30003,12612
4893,16/08/2014,70059,75391,52684,81863,88596
4892,13/08/2014,23286,86735,56817,34774,86829
4891,09/08/2014,92872,74555,18932,4349,60556
4890,06/08/2014,96125,17343,3120,1412,39460
4889,02/08/2014,7666,11013,90331,75109,93169
4888,30/07/2014,24313,51557,87746,70833,34366
4887,26/07/2014,27357,56751,97384,86806,22858
4886,23/07/2014,25897,466,34523,10150,36246
4885,19/07/2014,16198,13557,87275,12729,38242
4884,16/07/2014,19103,24626,36321,27077,61715
4883,12/07/2014,34099,75345,72742,63569,45819
4882,09/07/2014,49540,17761,12945,87721,92809
4881,05/07/2014,8175,86286,27451,13923,92649
4880,02/07/2014,86444,1261,94492,13870,30495
4879,28/06/2014,13309,64858,41466,70042,12279
4878,25/06/2014,68359,73740,54456,52639,77532
4877,21/06/2014,79954,35849,96393,16769,80273
4876,18/06/2014,87930,21685,12575,93090,43701
4875,14/06/2014,70399,37613,66130,3047,77793
4874,11/06/2014,21920,25666,89652,95911,38066
4873,07/06/2014,48643,51470,74009,32533,56912
4872,04/06/2014,19183,43228,24030,94002,50231
4871,31/05/2014,32997,44479,89015,24925,25970
4870,28/05/2014,66159,25318,58207,11863,31630
4869,24/05/2014,36856,95988,82709,63056,23645
4868,21/05/2014,81487,30527,37149,38046,30921
4867,17/05/2014,77209,62259,65168,15397,11453
4866,14/05/2014,86400,84919,21616,96348,76679
4865,10/05/2014,34210,44468,69141,11601,39536
4864,07/05/2014,37119,9410,49282,92260,17838
4863,03/05/2014,70877,54794,57219,783,62555
