concurso,data,n1,n2,n3,n4,n5
5858,17/04/2024,67610,41402,44861,20991,68375
5857,13/04/2024,76714,27969,3880,41316,23142
5856,10/04/2024,48233,22345,16987,72841,23672
5855,06/04/2024,24091,95694,91236,85526,19914
5854,03/04/2024,16400,87793,64351,26236,42778
5853,30/03/2024,47007,25806,99009,45868,23224
5852,27/03/2024,14745,36202,19429,54383,21709
5851,23/03/2024,9755,40847,54085,4192,61606
5850,20/03/2024,74687,1590,50291,54131,61649
5849,16/03/2024,7542,85529,88032,17419,46916
5848,13/03/2024,21901,14959,41395,76782,21161
5847,09/03/2024,73498,639,32488,2812,18017

5846,06/03/2024,75341,4496,42416,57589,95653
5845,02/03/2024,96927,84772,3472,66375,32954
5844,28/02/2024,24930,69140,23062,81438,5187
5843,24/02/2024,23309,56340,51701,67539,35868
5842,21/02/2024,19110,1955,23519,11237,67104
5841,17/02/2024,17178,6102,55733,43185,92259
5840,10/02/2024,90490,75112,37127,91487,3234
5839,07/02/2024,11632,57822,23137,12365,84518
5838,03/02/2024,50122,67723,65087,16875,62072
5837,31/01/2024,76997,97026,92206,13068,63713
5836,27/01/2024,45561,89220,17273,7749,71166
5835,24/01/2024,57637,72964,96159,52826,84544
5834,20/01/2024,22605,10663,21627,66376,20453
5833,17/01/2024,60541,33795,49078,12550,27258
5832,13/01/2024,22673,16077,85213,91326,77138
5831,10/01/2024,51528,20321,7592,35960,61479
5830,06/01/2024,6169,58908,83616,48535,98317
5829,03/01/2024,64638,84100,90597,88263,36247
5828,30/12/2023,80669,51822,5189,10797,67477
5827,23/12/2023,1413,7634,4028,84015,73349
5826,16/12/2023,30255,74166,47090,29100,47392
5825,13/12/2023,87222,26487,78250,14568,27159
5824,09/12/2023,65214,78584,57138,77530,86236
5823,06/12/2023,54134,26149,43424,73950,91909
5822,02/12/2023,72178,98918,59909,41852,298
5821,29/11/2023,64124,39479,49065,42395,47774
5820,25/11/2023,20780,39015,78924,24459,1786
5819,22/11/2023,5854,80064,27485,36954,62666
5818,18/11/2023,60687,38506,13421,44343,4938
5817,16/11/2023,64496,91802,45787,80533,60225
5816,11/11/2023,73411,86661,53288,65917,5835
5815,08/11/2023,99434,18781,42617,1865,66153
5814,04/11/2023,30970,60451,57539,73185,74141
5813,01/11/2023,92854,61619,69443,35260,50266
5812,28/10/2023,42921,27999,47866,40144,5914
5811,25/10/2023,19863,59751,48199,18398,32737
5810,21/10/2023,51238,36755,60794,46920,72874
5809,18/10/2023,72525,67514,40220,37984,1591
5808,14/10/2023,28761,21808,24243,28878,19
5807,11/10/2023,76248,24519,3909,1708,76912
5806,07/10/2023,49829,35887,36754,51444,28769
5805,04/10/2023,98586,35385,75526,39803,25621
5804,30/09/2023,54121,55776,80442,73156,59367
5803,27/09/2023,47065,77738,44807,14961,72026
5802,23/09/2023,31330,21635,43006,18395,28376
5801,20/09/2023,94995,78644,85079,73815,56865
5800,16/09/2023,77550,79920,32923,86991,82423

5799,13/09/2023,74362,46985,27784,61204,72233
5798,09/09/2023,82639,32602,86900,24891,35791
5797,06/09/2023,95196,19029,18805,46712,2030
5796,02/09/2023,83950,10903,36286,70579,50982
5795,30/08/2023,32516,25554,53467,87264,94751
5794,26/08/2023,58532,49105,75607,68554,68394
5793,23/08/2023,58775,67454,29873,39314,12093
5792,19/08/2023,12593,71579,78893,57682,4383
5791,16/08/2023,27413,83852,7676,11686,28897
5790,12/08/2023,63443,84251,38973,30938,2575
5789,09/08/2023,7263,38381,81687,7434,15500
5788,05/08/2023,63104,87466,20161,81255,23675
5787,02/08/2023,19258,54266,69713,8037,68267
5786,29/07/2023,90778,73564,49371,52779,41586
5785,26/07/2023,91855,3844,96369,37032,62811
5784,22/07/2023,26034,63921,44,86133,24856
5783,19/07/2023,21712,81258,13399,60243,50176
5782,15/07/2023,32542,70173,95479,32550,84353
5781,12/07/2023,35303,17491,23345,36183,97349
5780,08/07/2023,81120,93393,99514,7413,37069
5779,05/07/2023,78866,55746,83144,90186,42792
5778,01/07/2023,49105,10599,85524,33568,13738
5777,28/06/2023,95554,88828,20790,22562,60445
5776,24/06/2023,51399,12763,4489,51606,10814
5775,21/06/2023,27666,90064,48336,93046,15235
5774,17/06/2023,77129,74899,81190,62639,66177
5773,14/06/2023,9084,79527,56204,7309,16992
5772,10/06/2023,38963,51328,30999,87777,43844
5771,07/06/2023,36337,80175,19655,39395,86998
5770,03/06/2023,27085,2721,4841,63080,83889
